Name,Town,City,Locality,Country,Latitude,Longitude
El Chorro,,Málaga,Andalusia,ES,36.90855,-4.762286
Piscinas Naturales de Bolonia,,Cádiz,Andalusia,ES,36.068543,-5.739982
Fuente de Cela,Lúcar,Almería,Andalusia,ES,37.373475,-2.449206
"La Fuente del Río, Cabra",,Córdoba,Andalusia,ES,37.465073,-4.422983
Las Chorreras,,Granada,Andalusia,ES,37.052172,-3.133151
Embalse de los Bermejales,Arenas del Rey,Granada,Andalusia,ES,36.983964,-3.887935
Embalse de Bornos,,Jerez,Andalusia,ES,36.810253,-5.734731
Canal de Alfonso XIII,,Seville,Andalusia,ES,37.389551,-6.006734
Laguna de Fuencaliente,Huéscar,,Andalusia,ES,37.801851,-2.522316
Los Cahorros del Rio Chillar,Nerja,Málaga,Andalusia,ES,36.795019,-3.873495
Poza de los Huevos,,Marbella,Andalusia,ES,36.595361,-4.725667
Barranco Blanco,,Marbella,Andalusia,ES,36.609205,-4.741943
Embalse de Arcos,Arcos de la Frontera,Jerez,Andalusia,ES,36.766492,-5.789205
Área Recreativa Municipal la Playita,,Cádiz,Andalusia,ES,36.815393,-5.375071
Cañaveral de León Laguna,,,Andalusia,ES,38.01416,-6.529798
Playa San Nicolás Del Puerto,,Sevilla,Andalusia,ES,37.996445,-5.652765
Embalse de Béznar,,,Andalusia,ES,36.921389,-3.551632
Cascada Dos Lucas,,,Aragón,ES,42.591877,-0.303969
Pozas Pígalo,,,Aragón,ES,42.427149,-0.997876
Tiermas,,,Aragón,ES,42.613358,-1.117165
Salto del Bierge,,,Aragón,ES,42.172896,-0.090781
Pozo de Los Chorros,Belchite,,Aragón,ES,41.284939,-0.775563
Piscinas de San Esteban de Pravia,San Juan de la Arena,,Asturias,ES,43.563597,-6.077776
Piscinas Fluviales de Fresnedo,,,Cantábria,ES,42.676251,-2.3703
Lagunas de Ruidera,Ruidera,Tomelloso,Castilla-La Mancha,ES,38.947539,-2.855846
Embalse de Alarcón,,,Castilla-La Mancha,ES,39.658855,-2.222751
Las Chorreras (Río Cabriel),,,Castilla-La Mancha,ES,39.709151,-1.61705
Playa Fluvial de Cacabelos,Cacabelos,,Castilla y León,ES,42.599664,-6.729171
Lago de Sanabria,,,Castilla y León,ES,42.123182,-6.718655
Piscinas Naturales Arenas de San Pedro,,,Castilla y León,ES,40.216616,-5.095559
Playa Fluvial Villafranca del Bierzo,,,Castilla y León,ES,42.612717,-6.806933
Playa Fuentes Blancas Burgos,,,Castilla y León,ES,42.342912,-3.662392
Playa Fluvial de Molinaseca,Molinaseca,,Castilla y León,ES,42.537788,-6.518466
Cala Bramant,,,Cataluña,ES,42.386106,3.162618
Balneario de la Fontcalda,,,Cataluña,ES,41.001564,0.42753
Gorg Blau,Girona,,Cataluña,ES,42.278809,2.590125
Gorgs de la Febró,Reus,,Cataluña,ES,41.259759,0.975762
La Foradada,,Tarragona,Cataluña,ES,40.632387,0.544311
Niu de l'Àliga,,Tarragona,Cataluña,ES,41.277969,1.105572
Embalse de Orellana,,Badajoz,Extremadura,ES,39.034433,-5.396606
Los Pilones,,Cáceres,Extremadura,ES,40.201547,-5.754381
Playa de Orellana,,Badajoz,Extremadura,ES,38.994085,-5.526039
Piscina Natural de Hoyos,,,Extremadura,ES,40.173685,-6.692347
Piscinas Naturales de Acebo,,,Extremadura,ES,40.215814,-6.715117
Playa De Los Llanos,,,Extremadura,ES,38.955971,-5.255386
Fervenza de Segade,,,Galicia,ES,42.606578,-8.622625
Playa Fluvial de Maceira,,,Galicia,ES,42.271585,-8.352366
Baños del Río Caldo,,,Galicia,ES,41.864158,-8.106684
Playa Fluvial de Prados,,,Galicia,ES,41.597761,-8.458159
Playa Fluvial Ceo,O Ceo,,Galicia,ES,42.239146,-8.44604
Pozas de Mougas,,,Galicia,ES,42.060695,-8.861235
Poza Da Moura,O Calvar,,Galicia,ES,42.298114,-8.683408
Playa Fluvial de Ponte Caldelas,,,Galicia,ES,42.391223,-8.491753
Pozas de Melón,,,Galicia,ES,42.267368,-8.20646
Corga da Fecha,,,Galicia,ES,41.844854,-8.107234
Parque do Río Barosa,,,Galicia,ES,42.555658,-8.631153
Playa Fluvial do Salgueiral,Leiro,,Galicia,ES,42.371,-8.123583
Praia Fluvial da Freixa,,,Galicia,ES,42.18805,-8.514193
Playa Fluvial Furelos,,,Galicia,ES,42.911965,-7.99169
Playa Fluvial do Pozo Negro,,,Galicia,ES,42.465377,-8.499832
Playa Fluvial de Valga,,,Galicia,ES,42.698294,-8.647884
Playa Fluvial de Monterroso,,,Galicia,ES,42.786839,-7.844086
Praia Fluvial de A Carixa,,,Galicia,ES,42.762506,-8.257391
Playa Fluvial Xesteira,,,Galicia,ES,42.443975,-8.536232
Playa Fluvial A Chan,,,Galicia,ES,42.471862,-8.479254
Playa Fluvial Brandomil,,,Galicia,ES,43.007883,-8.92214
Playa Fluvial del Río Verdugo,,,Galicia,ES,42.413947,-8.444409
"Praia Fluvial de Tapia, Ames",,Santiago de Compostela,Galicia,ES,42.929415,-8.658023
Playa Fluvial del Lérez,,Pontevedra,Galicia,ES,42.444746,-8.633096
Termas de Outariz,,,Galicia,ES,42.350321,-7.914152
Playa Fluvial Acearrica,Allariz,,Galicia,ES,42.192276,-7.796297
Playa del Rasillo en el Embalse de Gonzales,,,La Rioja,ES,42.185109,-2.687188
Mansilla Bajo El Agua,,,La Rioja,ES,42.148359,-2.95545
Pantano de San Juan,,,Madrid,ES,40.383301,-4.34697
Baños del Somogil,,,Múrcia,ES,38.220649,-1.974338
Playa de Coy,,,Múrcia,ES,37.949928,-1.808066
Playa Fluvial de Cieza,,,Múrcia,ES,38.23261,-1.428439
Poza de Fuente Caputa,Mula,,Múrcia,ES,38.079561,-1.500748
Playa Fluvial Zudaire,,,Navarra,ES,42.777432,-2.129785
