Name,Town,City,Locality,Country,Latitude,Longitude
Praia Fluvial da Paradinha,,Arouca,Aveiro,PT,40.934824,-8.174404
Praia Fluvial da Várzea,,Castelo de Paiva,Aveiro,PT,41.027129,-8.239699
Praia Fluvial da Mamoa,,Mamoa,Aveiro,PT,40.928274,-8.467035
Praia Fluvial de Pedorido / do Castelo,,Castelo de Paiva,Aveiro,PT,41.048657,-8.375986
Praia Fluvial Cascata da Cabreira,,Sever do Vouga,Aveiro,PT,40.754211,-8.392473
Praia Fluvial da Serra da Freita,,Arouca,Aveiro,PT,40.866735,-8.267014
Praia Fluvial do Areinho,,Arouca,Aveiro,PT,40.95272,-8.176456
Praia Fluvial da Espiunca,,Arouca,Aveiro,PT,40.993339,-8.212753
Praia Fluvial do Vau,,Arouca,Aveiro,PT,40.976443,-8.189443
Praia Fluvial de Meitriz,,Arouca,Aveiro,PT,40.923164,-8.129176
Praia Fluvial do Souto do Rio,,Águeda,Aveiro,PT,40.560858,-8.42533
Praia Fluvial de Bolfiar,,Águeda,Aveiro,PT,40.565641,-8.399891
Praia Fluvial Burgães,,Vale de Cambra,Aveiro,PT,40.832923,-8.39056
Praia Fluvial da Pontemieiro,,Vale de Cambra,Aveiro,PT,40.807552,-8.3131
Praia Fluvial da Quinta do Barco,,Sever do Vouga,Aveiro,PT,40.708235,-8.360893
Poços do Rio Teixeira,,,Aveiro / Viseu,PT,40.796056,-8.256554
Piscina Fluvial Paraduça,,Vale de Cambra,Aveiro / Viseu,PT,40.806997,-8.27116
Praia Fluvial das Minas de São Domingos,São Domingos,,Beja,PT,37.67201,-7.505122
Praia Fluvial das Azenhas Guadiana,,Mértola,Beja,PT,37.646269,-7.652097
Praia Fluvial de Albufeira de Santa Clara,,Odemira,Beja,PT,37.513649,-8.441887
Praia Fluvial da Albufeira de Odivelas,,Ferreira do Alentejo,Beja,PT,38.192668,-8.098313
Praia Fluvial de Porto Carrero,,,Braga,PT,41.61308,-8.427927
Praia Fluvial da Albufeira da Queimadela,,Fafe,Braga,PT,41.504898,-8.162608
Praia Fluvial da Vieira do Minho,,Vieira do Minho,Braga,PT,41.630068,-8.137964
Praia Fluvial de Adaúfe,,Adaúfe,Braga,PT,41.609174,-8.409972
Praia fluvial do Cavadinho,,Crespos,Braga,PT,41.612901,-8.399676
Praia Fluvial de São Paio Merelim,,São Paio Merelim,Braga,PT,41.591184,-8.468173
Praia Fluvial de Navarra,,Navarra,Braga,PT,41.613243,-8.386453
Praia Fluvial de Faial,,"Prado, Vila Verde",Braga,PT,41.597769,-8.45817
Praia Fluvial de Tregosa,,Barcelos,Braga,PT,41.636124,-8.695786
Praia Fluvial de Alqueirão,,Terras de Bouro,Braga,PT,41.679254,-8.176279
Praia fluvial da Albufeira do Rio Ermal,,Vieira do Minho,Braga,PT,41.59424,-8.131016
Praia fluvial da Póvoa de Lanhoso,,Póvoa de Lanhoso,Braga,PT,41.645357,-8.312362
Praia fluvial de Cavez,,Cabeceiras de Basto,Braga,PT,41.516177,-7.890007
Praia Fluvial Barragem do Peneireiro,,Macedo de Cavaleiros,Bragança,PT,41.293834,-7.172937
Praia Fluvial de Maravilha,,Mirandela,Bragança,PT,41.506994,-7.198286
Praia Fluvial da Ribeira,,Macedo de Cavaleiros,Bragança,PT,40.016353,-8.100142
Praia Fluvial da Albufeira do Azibo,,Macedo de Cavaleiros,Bragança,PT,41.586002,-6.906668
Praia Fluvial de Fraga da Pegada,,Macedo de Cavaleiros,Bragança,PT,41.581317,-6.898342
Praia Fluvial da Congida,,Freixo Espada à Cinta,Bragança,PT,41.077242,-6.779139
Praia Fluvial Ponte Soeira,,Vinhais,Bragança,PT,41.847618,-6.935989
Caldas de São Paulo,Caldas de São Paulo,Oliveira do Hospital,Caldas de São Paulo,PT,40.325758,-7.8449363
Praia fluvial Almaceda,Almaceda,,Castelo Branco,PT,40.007539,-7.661197
Praia Fluvial Malhadal,,Proença a Nova,Castelo Branco,PT,39.796972,-7.951409
Praia Fluvial Da Froia,Oliveiras,,Castelo Branco,PT,39.78909,-7.838703
Praia Fluvial Sobral De São Miguel,Sobral De São Miguel,,Castelo Branco,PT,40.210389,-7.742534
Praia Fluvial de Lavacolhos,Lavacolhos,Fundão,Castelo Branco,PT,40.13581,-7.614018
Praia Fluvial o Moinho,Benquerença,Penamacor,Castelo Branco,PT,40.228924,-7.221445
Praia Fluvial Do Meimão,Meimoa,Penamacor,Castelo Branco,PT,40.268811,-7.143175
Praia Fluvial Pego das Cancelas,,Vila de Rei,Castelo Branco,PT,39.73462,-8.0577
Praia Fluvial Bostelim,,Vila de Rei,Castelo Branco,PT,39.723255,-8.108255
Praia Fluvial Zaboeira,,Vila de Rei,Castelo Branco,PT,39.704078,-8.222549
Praia Fluvial Penedo Furado,,Vila de Rei,Castelo Branco,PT,39.625768,-8.162303
Praia Fluvial Cerejeira,,Proença a Nova,Castelo Branco,PT,39.809966,-7.753134
Praia Fluvial Alvito da Beira,,Proença a Nova,Castelo Branco,PT,39.823733,-7.798149
Praia Fluvial Aldeia Ruiva,,Proença a Nova,Castelo Branco,PT,39.769379,-7.981936
Praia Fluvial Fróia,,Proença a Nova,Castelo Branco,PT,39.789106,-7.838166
Praia Fluvial de Cambas,Cambas,,Castelo Branco,PT,40.012664,-7.847182
Praia Fluvial Açude do Pinto,Oleiros,,Castelo Branco,PT,39.921493,-7.891863
Praia Fluvial Álvaro,Álvaro,Oleiros,Castelo Branco,PT,39.97715,-7.961491
Praia Fluvial Trizio,Trisio,,Castelo Branco,PT,39.729845,-8.231857
Praia Fluvial Fernandaires,,Vila de Rei,Castelo Branco,PT,39.734325,-8.208786
Praia Fluvial Do Troviscal,Sertã,,Castelo Branco,PT,39.860415,-8.008099
Praia Fluvial de Pego,Penha Garcia,,Castelo Branco,PT,40.043644,-7.014411
Albufeira da Barragem de Marechal Carmona,Idanha a Nova,,Castelo Branco,PT,39.971289,-7.192353
Praia Fluvial Taberna Seca,Taberna Seca,,Castelo Branco,PT,39.83858,-7.592678
Praia Fluvial Unhais da Serra,,Covilhã,Castelo Branco,PT,40.257112,-7.622836
Praia Fluvial Sesmo,Sesmo,,Castelo Branco,PT,39.859744,-7.742734
Praia Fluvial de Ourondo,Ourondo,Covilhã,Castelo Branco,PT,40.151574,-7.686692
Praia fluvial O Moinho,Benquerença,,Castelo Branco,PT,40.228924,-7.221445
Praia fluvial Janeiro de Cima,Janeiro de Cima,Fundão,Castelo Branco,PT,40.065534,-7.805049
Praia Fluvial de Belmonte,Belmonte,,Castelo Branco,PT,40.35985,-7.348179
Praia Fluvial do Agroal,Agroal,Arganil,Coimbra,PT,39.679076,-8.43628
Praia Fluvial de Malhada Chã,Malhada Chã,Arganil,Coimbra,PT,40.204745,-7.800777
Praia Fluvial do Reconquinho,Reconquinho,Penacova,Coimbra,PT,40.266768,-8.279082
Praia Fluvial de Palheiros e Zorro,Torres do Mondego,Coimbra,Coimbra,PT,40.202787,-8.365109
Praia Fluvial Sra. da Graça,,Serpins,Coimbra,PT,40.157243,-8.197143
Praia Fluvial Canaveias,Várzea Grande,Góis,Coimbra,PT,40.185105,-8.14999
Praia Fluvial dos Olhos da Fervença,,Cantanhede,Coimbra,PT,40.349341,-8.696462
Praia Fluvial das Sete Fontes,Sete Fontes,Ourentã,Coimbra,PT,40.356972,-8.537888
Praia Fluvial da Peneda,,Góis,Coimbra,PT,40.154175,-8.111971
Praia Fluvial da Peneda da Cascalheira,Secarias,Arganil,Coimbra,PT,40.250234,-8.035709
Praia Fluvial Benfeita,Benfeita,Arganil,Coimbra,PT,40.231832,-7.946615
Praia Fluvial Pomares,Pomares,Arganil,Coimbra,PT,40.268913,-7.897186
Praia Fluvial de Coja,Coja,Arganil,Coimbra,PT,40.267763,-7.9951
Praia Fluvial de Piodão,Piodão,Arganil,Coimbra,PT,40.229548,-7.826297
Praia Fluvial de Foz D´Égua,Foz D´Égua,Arganil,Coimbra,PT,40.247208,-7.812697
Praia Fluvial  de Urtigal,Barril de Alva,Arganil,Coimbra,PT,40.286753,-7.960931
Praia Fluvial do Poço do Pujadouro,Cepos,Arganil,Coimbra,PT,40.025076,-8.190018
Praia Fluvial de Folques,Folques,Arganil,Coimbra,PT,40.221518,-8.014707
Piscina Natural de Ançã,Ançã,Coimbra,Coimbra,PT,40.272404,-8.524858
Praia Fluvial Senhora da Piedade,,Lousã,Coimbra,PT,40.100281,-8.23441
Praia Fluvial Bogueira,,Lousã,Coimbra,PT,40.154391,-8.242825
Praia Fluvial Avô,Avô,Oliveira do Hospital,Coimbra,PT,40.294126,-7.905815
Praia Fluvial São Gião,,Oliveira do Hospital,Coimbra,PT,40.337343,-7.799834
Praia Fluvial Alvoco,,Oliveira do Hospital,Coimbra,PT,40.301159,-7.836634
Praia Fluvial Pessegueiro,,Pampilhosa da Serra,Coimbra,PT,40.05203,-8.024095
Praia Fluvial Santa Lúzia,,Pampilhosa da Serra,Coimbra,PT,40.090569,-7.852362
Praia Fluvial Janeiro de Baixo,,Pampilhosa da Serra,Coimbra,PT,40.046402,-7.801602
Praia Fluvial Pampilhosa da Serra,Pampilhosa da Serra,,Coimbra,PT,40.047181,-7.949441
Praia Fluvial Segade,Segade,Coimbra,Coimbra,PT,40.170249,-8.317058
Praia Fluvial Louçainha,Louçainha,,Coimbra,PT,40.026189,-8.304213
Praia Fluvial de Vimieiro,,Penacova,Coimbra,PT,40.277089,-8.1981
Praia Fluvial Cascata da Fraga da Pena,Fraga da Pena,Arganil,Coimbra,PT,40.220277,-7.93599
Praia Fluvial de Monsaraz,Monsaraz,,Évora,PT,38.434541,-7.350357
Praia Fluvial da Ponte do Paço,,Mora,Évora,PT,38.952126,-8.166217
Praia Fluvial do Gameiro,Mora,,Évora,PT,38.954318,-8.108975
Praia Fluvial da Amoreira,,Aljezur,Faro,PT,37.350809,-8.845017
Praia fluvial de Pego Fundo,Alcoutim,,Faro,PT,37.472097,-7.47682
Praia Fluvial Sandomil,,Seia,Guarda,PT,40.356492,-7.77998
Praia Fluvial Porto da Carne,Porto da Carne,,Guarda,PT,40.608048,-7.299945
Praia Fluvial da Relva da Reboleira,Sameiro,Manteigas,Guarda,PT,40.411851,-7.466847
Praia Fluvial Covão da Ponte,,Manteigas,Guarda,PT,40.442663,-7.515079
Praia Fluvial Covão d’Ametade,,Manteigas,Guarda,PT,40.32811,-7.587047
Poço do Lagar,Vasco Esteves de Baixo,Seia,Guarda,PT,40.287972,-7.709556
Praia Fluvial Loriga,,Seia,Guarda,PT,40.326966,-7.678901
Praia Fluvial do Sabugueiro,Sabugueiro,,Guarda,PT,40.400685,-7.640455
Praia Fluvial Lapa dos Dinheiros,,Seia,Guarda,PT,40.38515,-7.697109
Praia Fluvia Vila Cova à Coelheira,,Seia,Guarda,PT,40.37901,-7.735157
Praia Fluvial Valhelhas,Valhelhas,,Guarda,PT,40.403041,-7.404518
Praia Fluvial de Aldeia Viçosa,Aldeia Viçosa,,Guarda,PT,40.579645,-7.307393
Praia Fluvial Foios,Foios,Sabugal,Guarda,PT,40.286725,-6.889157
Praia Fluvial Rapoula do Côa,Capela de São Domingos,Sabugal,Guarda,PT,40.418352,-7.044276
Praia Fluvial Sabugal (Devesa),Sabugal,,Guarda,PT,40.348621,-7.09264
Praia Fluvial Vale das Éguas,,Sabugal,Guarda,PT,40.435929,-7.024301
Praia Fluvial Quadrazais,Quadrazais,Sabugal,Guarda,PT,40.312951,-6.986979
Praia Fluvial Vale do Rossim,,Gouveia,Guarda,PT,40.402197,-7.58666
Praia Fluvial Fragas de São Simão,Figueiró dos Vinhos,,Leiria,PT,39.915342,-8.323202
Praia Fluvial Cabril,,Pedrogão Grande,Leiria,PT,39.921064,-8.134017
Praia Fluvial de Mosteiro,Cacilhas,,Leiria,PT,39.93585,-8.186215
